,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date,ChangesRatio,TotalCount
30,002200,수출포장,8180.0,150.0,1.9,40520.0,327690900.0,8010.0,8180.0,8010.0,32720000000.0,0.01,4000000.0,37004.0,0.93,571.0,2002-11-04,,
31,003490,대한항공,13900.0,250.0,1.8,1266196.0,17315798900.0,13700.0,13900.0,13300.0,990923160400.0,0.32,71289436.0,16200579.0,22.73,44.0,2002-11-04,,
32,002200,수출포장,8190.0,10.0,0.1,17650.0,144289800.0,8120.0,8250.0,8120.0,32760000000.0,0.01,4000000.0,37004.0,0.93,568.0,2002-11-05,,
33,003490,대한항공,13950.0,50.0,0.4,1233129.0,17397026550.0,14050.0,14550.0,13550.0,994487632200.0,0.32,71289436.0,16275449.0,22.83,43.0,2002-11-05,,
34,002200,수출포장,8200.0,10.0,0.1,36520.0,300354300.0,8270.0,8270.0,8160.0,32800000000.0,0.01,4000000.0,37004.0,0.93,577.0,2002-11-06,,
35,003490,대한항공,14600.0,650.0,4.7,1640629.0,23758126400.0,14350.0,14750.0,14250.0,1040825765600.0,0.33,71289436.0,16439659.0,23.06,43.0,2002-11-06,,
36,002200,수출포장,8140.0,-60.0,-0.7,14260.0,116400600.0,8190.0,8200.0,8140.0,32560000000.0,0.01,4000000.0,37004.0,0.93,578.0,2002-11-07,,
37,003490,대한항공,14300.0,-300.0,-2.0,1327549.0,19667772200.0,14900.0,15150.0,14300.0,1019438934800.0,0.32,71289436.0,16558559.0,23.23,43.0,2002-11-07,,
38,002200,수출포장,8030.0,-110.0,-1.4,70560.0,567988000.0,8100.0,8100.0,7990.0,32120000000.0,0.01,4000000.0,37004.0,0.93,580.0,2002-11-08,,
39,003490,대한항공,14200.0,-100.0,-0.7,667444.0,9391459300.0,14100.0,14250.0,13850.0,1012309991200.0,0.32,71289436.0,16543069.0,23.21,42.0,2002-11-08,,
40,002200,수출포장,7960.0,-70.0,-0.9,23580.0,188480000.0,8090.0,8110.0,7950.0,31840000000.0,0.01,4000000.0,37004.0,0.93,591.0,2002-11-11,,
41,003490,대한항공,13600.0,-600.0,-4.2,840738.0,11462610800.0,14050.0,14050.0,13400.0,969536329600.0,0.31,71289436.0,16362439.0,22.95,44.0,2002-11-11,,
42,002200,수출포장,7860.0,-100.0,-1.3,36100.0,284554600.0,7870.0,7980.0,7840.0,31440000000.0,0.01,4000000.0,37004.0,0.93,587.0,2002-11-12,,
43,003490,대한항공,12900.0,-700.0,-5.2,1660884.0,21366978600.0,13150.0,13200.0,12650.0,919633724400.0,0.3,71289436.0,15712969.0,22.04,46.0,2002-11-12,,
44,002200,수출포장,8000.0,140.0,1.8,30290.0,240902100.0,7880.0,8000.0,7850.0,32000000000.0,0.01,4000000.0,37004.0,0.93,584.0,2002-11-13,,
45,003490,대한항공,12900.0,0.0,0.0,834220.0,10883501000.0,13000.0,13300.0,12750.0,919633724400.0,0.3,71289436.0,15619929.0,21.91,46.0,2002-11-13,,
46,002200,수출포장,7940.0,-60.0,-0.8,18500.0,147488300.0,7910.0,8070.0,7910.0,31760000000.0,0.01,4000000.0,38224.0,0.96,589.0,2002-11-14,,
47,003490,대한항공,13200.0,300.0,2.3,1284099.0,17284906800.0,13600.0,13800.0,13200.0,941020555200.0,0.31,71289436.0,15618159.0,21.91,45.0,2002-11-14,,
48,002200,수출포장,8000.0,60.0,0.8,36090.0,289405100.0,7970.0,8150.0,7950.0,32000000000.0,0.01,4000000.0,38224.0,0.96,589.0,2002-11-15,,
49,003490,대한항공,13750.0,550.0,4.2,913233.0,12484793250.0,13700.0,13800.0,13500.0,980229745000.0,0.31,71289436.0,15672429.0,21.98,43.0,2002-11-15,,
50,002200,수출포장,8140.0,140.0,1.8,25420.0,205812600.0,8020.0,8150.0,8020.0,32560000000.0,0.01,4000000.0,38224.0,0.96,577.0,2002-11-18,,
51,003490,대한항공,14100.0,350.0,2.6,1052110.0,14787319000.0,13950.0,14200.0,13700.0,1005181047600.0,0.32,71289436.0,15843949.0,22.22,41.0,2002-11-18,,
52,002200,수출포장,8060.0,-80.0,-1.0,15440.0,124687800.0,8040.0,8140.0,8040.0,32240000000.0,0.01,4000000.0,38224.0,0.96,581.0,2002-11-19,,
53,003490,대한항공,14100.0,0.0,0.0,567241.0,7884458600.0,13950.0,14150.0,13650.0,1005181047600.0,0.32,71289436.0,15788439.0,22.15,42.0,2002-11-19,,
54,002200,수출포장,8180.0,120.0,1.5,34920.0,282742800.0,8100.0,8180.0,8050.0,32720000000.0,0.01,4000000.0,38224.0,0.96,573.0,2002-11-20,,
55,003490,대한항공,14050.0,-50.0,-0.4,585142.0,8168448600.0,13900.0,14150.0,13800.0,1001616575800.0,0.31,71289436.0,15670719.0,21.98,43.0,2002-11-20,,
56,002200,수출포장,8380.0,200.0,2.4,37432.0,309973560.0,8220.0,8400.0,8200.0,33520000000.0,0.01,4000000.0,38224.0,0.96,565.0,2002-11-21,,
57,003490,대한항공,14000.0,-50.0,-0.4,660616.0,9378358000.0,14250.0,14350.0,14000.0,998052104000.0,0.31,71289436.0,15661939.0,21.97,43.0,2002-11-21,,
58,002200,수출포장,8310.0,-70.0,-0.8,40000.0,334850100.0,8420.0,8460.0,8250.0,33240000000.0,0.01,4000000.0,38254.0,0.96,573.0,2002-11-22,,
59,003490,대한항공,14300.0,300.0,2.1,902697.0,12990794100.0,14400.0,14600.0,14200.0,1019438934800.0,0.31,71289436.0,15735589.0,22.07,43.0,2002-11-22,,
60,002200,수출포장,8300.0,-10.0,-0.1,25940.0,216030700.0,8320.0,8380.0,8270.0,33200000000.0,0.01,4000000.0,38254.0,0.96,582.0,2002-11-25,,
61,003490,대한항공,14500.0,200.0,1.4,743380.0,10648083000.0,14300.0,14500.0,14100.0,1033696822000.0,0.31,71289436.0,15699359.0,22.02,43.0,2002-11-25,,
62,002200,수출포장,8370.0,70.0,0.8,35180.0,294108100.0,8320.0,8400.0,8310.0,33480000000.0,0.01,4000000.0,38254.0,0.96,582.0,2002-11-26,,
63,003490,대한항공,14850.0,350.0,2.4,1157630.0,17040738500.0,14700.0,14900.0,14450.0,1058648124600.0,0.32,71289436.0,15648139.0,21.95,42.0,2002-11-26,,
64,002200,수출포장,8580.0,210.0,2.5,44890.0,381305700.0,8370.0,8580.0,8370.0,34320000000.0,0.01,4000000.0,38254.0,0.96,575.0,2002-11-27,,
65,003490,대한항공,14950.0,100.0,0.7,1009178.0,15075411600.0,14850.0,15100.0,14800.0,1065777068200.0,0.32,71289436.0,15648009.0,21.95,44.0,2002-11-27,,
66,002200,수출포장,8600.0,20.0,0.2,45690.0,395916900.0,8670.0,8740.0,8600.0,34400000000.0,0.01,4000000.0,38254.0,0.96,576.0,2002-11-28,,
67,003490,대한항공,15300.0,350.0,2.3,1414822.0,21949010100.0,15350.0,15750.0,15100.0,1090728370800.0,0.33,71289436.0,15867809.0,22.26,42.0,2002-11-28,,
68,002200,수출포장,8680.0,80.0,0.9,29290.0,251164500.0,8590.0,8690.0,8500.0,34720000000.0,0.01,4000000.0,38254.0,0.96,574.0,2002-11-29,,
69,003490,대한항공,15600.0,300.0,2.0,759071.0,11827722100.0,15650.0,15750.0,15300.0,1112115201600.0,0.33,71289436.0,15925789.0,22.34,42.0,2002-11-29,,
70,002200,수출포장,8770.0,90.0,1.0,19856.0,173076020.0,8700.0,8780.0,8650.0,35080000000.0,0.01,4000000.0,38254.0,0.96,579.0,2002-12-02,,
71,003490,대한항공,15700.0,100.0,0.6,475498.0,7445718100.0,15400.0,15900.0,15400.0,1119244145200.0,0.33,71289436.0,15979879.0,22.42,42.0,2002-12-02,,
72,002200,수출포장,8850.0,80.0,0.9,52510.0,463117500.0,8770.0,8910.0,8700.0,35400000000.0,0.01,4000000.0,38204.0,0.96,579.0,2002-12-03,,
73,003490,대한항공,15500.0,-200.0,-1.3,1102780.0,16909982500.0,15550.0,15600.0,15100.0,1104986258000.0,0.32,71289436.0,15760469.0,22.11,42.0,2002-12-03,,
74,002200,수출포장,8550.0,-300.0,-3.4,42210.0,365145000.0,8790.0,8790.0,8550.0,34200000000.0,0.01,4000000.0,38174.0,0.95,589.0,2002-12-04,,
75,003490,대한항공,14800.0,-700.0,-4.5,649198.0,9594668900.0,15100.0,15150.0,14600.0,1055083652800.0,0.31,71289436.0,15581978.0,21.86,44.0,2002-12-04,,
76,002200,수출포장,8630.0,80.0,0.9,23200.0,199652900.0,8650.0,8660.0,8550.0,34520000000.0,0.01,4000000.0,38144.0,0.95,594.0,2002-12-05,,
77,003490,대한항공,14750.0,-50.0,-0.3,978767.0,14314152250.0,14650.0,14950.0,14350.0,1051519181000.0,0.31,71289436.0,15553038.0,21.82,44.0,2002-12-05,,
78,002200,수출포장,8640.0,10.0,0.1,19090.0,166015500.0,8800.0,8800.0,8620.0,34560000000.0,0.01,4000000.0,38064.0,0.95,595.0,2002-12-06,,
79,003490,대한항공,14550.0,-200.0,-1.4,2362140.0,34394996000.0,14600.0,14800.0,14450.0,1037261293800.0,0.31,71289436.0,15547888.0,21.81,43.0,2002-12-06,,
80,002200,수출포장,8700.0,60.0,0.7,20980.0,182523400.0,8620.0,8750.0,8600.0,34800000000.0,0.01,4000000.0,38064.0,0.95,589.0,2002-12-09,,
81,003490,대한항공,14000.0,-550.0,-3.8,991101.0,14118309500.0,14200.0,14550.0,13950.0,998052104000.0,0.3,71289436.0,15155808.0,21.26,46.0,2002-12-09,,
82,002200,수출포장,8620.0,-80.0,-0.9,18970.0,164122700.0,8730.0,8730.0,8620.0,34480000000.0,0.01,4000000.0,38064.0,0.95,589.0,2002-12-10,,
83,003490,대한항공,13950.0,-50.0,-0.4,711251.0,9795596950.0,13700.0,14200.0,13600.0,994487632200.0,0.3,71289436.0,15050368.0,21.11,47.0,2002-12-10,,
84,002200,수출포장,8640.0,20.0,0.2,16210.0,140164400.0,8640.0,8710.0,8620.0,34560000000.0,0.01,4000000.0,38064.0,0.95,590.0,2002-12-11,,
85,003490,대한항공,14200.0,250.0,1.8,597443.0,8517229600.0,14200.0,14450.0,14100.0,1012309991200.0,0.31,71289436.0,15096068.0,21.18,45.0,2002-12-11,,
86,002200,수출포장,8700.0,60.0,0.7,21600.0,186737300.0,8510.0,8700.0,8510.0,34800000000.0,0.01,4000000.0,40264.0,1.01,594.0,2002-12-12,,
87,003490,대한항공,14500.0,300.0,2.1,758980.0,10979356500.0,14200.0,14650.0,14100.0,1033696822000.0,0.31,71289436.0,15098138.0,21.18,47.0,2002-12-12,,
88,002200,수출포장,8750.0,50.0,0.6,18974.0,165382500.0,8750.0,8800.0,8610.0,35000000000.0,0.01,4000000.0,40264.0,1.01,590.0,2002-12-13,,
89,003490,대한항공,14250.0,-250.0,-1.7,537872.0,7564519500.0,14300.0,14400.0,13850.0,1015874463000.0,0.3,71289436.0,15021078.0,21.07,47.0,2002-12-13,,
90,002200,수출포장,8630.0,-120.0,-1.4,15920.0,138359100.0,8740.0,8750.0,8630.0,34520000000.0,0.01,4000000.0,40264.0,1.01,589.0,2002-12-16,,
91,003490,대한항공,13700.0,-550.0,-3.9,399636.0,5514985700.0,13900.0,14050.0,13700.0,976665273200.0,0.3,71289436.0,14962718.0,20.99,47.0,2002-12-16,,
92,002200,수출포장,8630.0,0.0,0.0,32384.0,282146620.0,8660.0,8800.0,8600.0,34520000000.0,0.01,4000000.0,40264.0,1.01,596.0,2002-12-17,,
93,003490,대한항공,13700.0,0.0,0.0,496659.0,6850926300.0,13950.0,14000.0,13700.0,976665273200.0,0.29,71289436.0,14983838.0,21.02,48.0,2002-12-17,,
94,002200,수출포장,8730.0,100.0,1.2,18570.0,161627700.0,8530.0,8740.0,8530.0,34920000000.0,0.01,4000000.0,41464.0,1.04,584.0,2002-12-18,,
95,003490,대한항공,14000.0,300.0,2.2,589030.0,8161876000.0,13550.0,14050.0,13550.0,998052104000.0,0.3,71289436.0,14936468.0,20.95,47.0,2002-12-18,,
96,002200,수출포장,8720.0,-10.0,-0.1,27710.0,242363400.0,8680.0,8860.0,8680.0,34880000000.0,0.01,4000000.0,41464.0,1.04,574.0,2002-12-20,,
97,003490,대한항공,13450.0,-550.0,-3.9,861849.0,11596331550.0,13800.0,13900.0,13200.0,958842914200.0,0.29,71289436.0,14817771.0,20.79,50.0,2002-12-20,,
98,002200,수출포장,8690.0,-30.0,-0.3,26521.0,230775890.0,8890.0,8890.0,8650.0,34760000000.0,0.01,4000000.0,41464.0,1.04,566.0,2002-12-23,,
99,003490,대한항공,12500.0,-950.0,-7.1,751951.0,9649903500.0,13300.0,13400.0,12500.0,891117950000.0,0.27,71289436.0,14738351.0,20.67,50.0,2002-12-23,,
100,002200,수출포장,8690.0,0.0,0.0,30309.0,261260910.0,8620.0,8700.0,8410.0,34760000000.0,0.01,4000000.0,41464.0,1.04,559.0,2002-12-24,,
101,003490,대한항공,11950.0,-550.0,-4.4,1529044.0,18081610800.0,12100.0,12200.0,11500.0,851908760200.0,0.27,71289436.0,14246741.0,19.98,52.0,2002-12-24,,
102,002200,수출포장,8610.0,-80.0,-0.9,43060.0,372360800.0,8700.0,8760.0,8430.0,34440000000.0,0.01,4000000.0,41464.0,1.04,559.0,2002-12-26,,
103,003490,대한항공,11800.0,-150.0,-1.3,873039.0,10474991200.0,11650.0,12350.0,11650.0,841215344800.0,0.27,71289436.0,14276302.0,20.03,51.0,2002-12-26,,
104,002200,수출포장,8000.0,-610.0,-7.1,34610.0,281392900.0,8130.0,8280.0,7960.0,32000000000.0,0.01,4000000.0,41464.0,1.04,572.0,2002-12-27,,
105,003490,대한항공,11700.0,-100.0,-0.8,554960.0,6573466000.0,11600.0,12100.0,11550.0,834086401200.0,0.27,71289436.0,14310352.0,20.07,51.0,2002-12-27,,
106,002200,수출포장,7700.0,-300.0,-3.8,17800.0,134185300.0,7900.0,7900.0,7260.0,30800000000.0,0.01,4000000.0,41464.0,1.04,572.0,2002-12-30,,
107,003490,대한항공,11400.0,-300.0,-2.6,573005.0,6640385500.0,11500.0,11850.0,11350.0,812699570400.0,0.27,71289436.0,14368472.0,20.16,51.0,2002-12-30,,
108,002200,수출포장,7530.0,-170.0,-2.2,19994.0,150787320.0,7450.0,7750.0,7450.0,30120000000.0,0.01,4000000.0,41294.0,1.03,594.0,2003-01-02,,
109,003490,대한항공,11850.0,450.0,4.0,634659.0,7411751650.0,11600.0,11850.0,11400.0,844779816600.0,0.28,71289436.0,14368592.0,20.16,51.0,2003-01-02,,
110,002200,수출포장,7700.0,170.0,2.3,25470.0,195229500.0,7600.0,7750.0,7600.0,30800000000.0,0.01,4000000.0,41244.0,1.03,599.0,2003-01-03,,
111,003490,대한항공,12550.0,700.0,5.9,1298097.0,16115740850.0,12200.0,12700.0,12100.0,894682421800.0,0.29,71289436.0,14543552.0,20.4,49.0,2003-01-03,,
112,002200,수출포장,7700.0,0.0,0.0,10590.0,80674400.0,7700.0,7700.0,7560.0,30800000000.0,0.01,4000000.0,41264.0,1.03,615.0,2003-01-06,,
113,003490,대한항공,12700.0,150.0,1.2,659017.0,8246202400.0,12700.0,12750.0,12300.0,905375837200.0,0.29,71289436.0,14615879.0,20.5,47.0,2003-01-06,,
114,002200,수출포장,7350.0,-350.0,-4.6,20530.0,155549300.0,7700.0,7780.0,7350.0,29400000000.0,0.01,4000000.0,41264.0,1.03,624.0,2003-01-07,,
115,003490,대한항공,12400.0,-300.0,-2.4,833637.0,10486308800.0,12900.0,12950.0,12400.0,883989006400.0,0.29,71289436.0,14806520.0,20.77,47.0,2003-01-07,,
116,002200,수출포장,7350.0,0.0,0.0,111530.0,819506900.0,7480.0,7480.0,7270.0,29400000000.0,0.01,4000000.0,41264.0,1.03,630.0,2003-01-08,,
117,003490,대한항공,12700.0,300.0,2.4,575520.0,7301118500.0,12650.0,13000.0,12450.0,905375837200.0,0.29,71289436.0,14805520.0,20.77,46.0,2003-01-08,,
118,002200,수출포장,7210.0,-140.0,-1.9,57100.0,411941000.0,7280.0,7360.0,7200.0,28840000000.0,0.01,4000000.0,39614.0,0.99,634.0,2003-01-09,,
119,003490,대한항공,12400.0,-300.0,-2.4,557930.0,6967959500.0,12450.0,12650.0,12300.0,883989006400.0,0.29,71289436.0,14723940.0,20.65,46.0,2003-01-09,,
120,002200,수출포장,7000.0,-210.0,-2.9,21170.0,148830300.0,7270.0,7340.0,6520.0,28000000000.0,0.01,4000000.0,39654.0,0.99,633.0,2003-01-10,,
121,003490,대한항공,12600.0,200.0,1.6,741791.0,9244758600.0,12650.0,12850.0,11700.0,898246893600.0,0.3,71289436.0,14712730.0,20.64,45.0,2003-01-10,,
122,002200,수출포장,6940.0,-60.0,-0.9,66080.0,457491100.0,6900.0,7080.0,6840.0,27760000000.0,0.01,4000000.0,39674.0,0.99,653.0,2003-01-13,,
123,003490,대한항공,13500.0,900.0,7.1,1074879.0,14124257500.0,12300.0,13500.0,12300.0,962407386000.0,0.31,71289436.0,14988060.0,21.02,43.0,2003-01-13,,
124,002200,수출포장,6910.0,-30.0,-0.4,156508.0,1086371980.0,7000.0,7170.0,6760.0,27640000000.0,0.01,4000000.0,39704.0,0.99,660.0,2003-01-14,,
125,003490,대한항공,13800.0,300.0,2.2,888232.0,12108050600.0,13500.0,13900.0,13200.0,983794216800.0,0.32,71289436.0,15130520.0,21.22,43.0,2003-01-14,,
126,002200,수출포장,6930.0,20.0,0.3,32740.0,227602800.0,7000.0,7050.0,6900.0,27720000000.0,0.01,4000000.0,39764.0,0.99,659.0,2003-01-15,,
127,003490,대한항공,13000.0,-800.0,-5.8,646509.0,8620795500.0,13750.0,13800.0,13000.0,926762668000.0,0.3,71289436.0,15051830.0,21.11,44.0,2003-01-15,,
128,002200,수출포장,6900.0,-30.0,-0.4,17230.0,118490600.0,6900.0,6930.0,6830.0,27600000000.0,0.01,4000000.0,39814.0,1.0,657.0,2003-01-16,,
129,003490,대한항공,12800.0,-200.0,-1.5,641427.0,8164100600.0,12650.0,12950.0,12550.0,912504780800.0,0.3,71289436.0,14823000.0,20.79,46.0,2003-01-16,,
130,002200,수출포장,6820.0,-80.0,-1.2,24880.0,170368800.0,6850.0,6890.0,6800.0,27280000000.0,0.01,4000000.0,39874.0,1.0,657.0,2003-01-17,,
131,003490,대한항공,12800.0,0.0,0.0,544127.0,7022090100.0,12500.0,13200.0,12500.0,912504780800.0,0.3,71289436.0,14938920.0,20.96,44.0,2003-01-17,,
132,002200,수출포장,6730.0,-90.0,-1.3,19110.0,129559500.0,6820.0,6820.0,6730.0,26920000000.0,0.01,4000000.0,39894.0,1.0,655.0,2003-01-20,,
133,003490,대한항공,12750.0,-50.0,-0.4,241305.0,3036253250.0,12400.0,12800.0,12400.0,908940309000.0,0.3,71289436.0,14957160.0,20.98,44.0,2003-01-20,,
134,002200,수출포장,6720.0,-10.0,-0.2,66150.0,444321100.0,6770.0,6800.0,6650.0,26880000000.0,0.01,4000000.0,39894.0,1.0,657.0,2003-01-21,,
135,003490,대한항공,13000.0,250.0,2.0,327589.0,4179250000.0,12900.0,13050.0,12500.0,926762668000.0,0.31,71289436.0,14987010.0,21.02,44.0,2003-01-21,,
136,002200,수출포장,6630.0,-90.0,-1.3,26897.0,178361910.0,6670.0,6780.0,6590.0,26520000000.0,0.01,4000000.0,39794.0,0.99,650.0,2003-01-22,,
137,003490,대한항공,12450.0,-550.0,-4.2,751116.0,9362519200.0,12700.0,12800.0,12250.0,887553478200.0,0.3,71289436.0,14760260.0,20.7,44.0,2003-01-22,,
138,002200,수출포장,6600.0,-30.0,-0.4,57140.0,379927700.0,6560.0,6700.0,6560.0,26400000000.0,0.01,4000000.0,39934.0,1.0,657.0,2003-01-23,,
139,003490,대한항공,12500.0,50.0,0.4,354845.0,4429290000.0,12400.0,12650.0,12300.0,891117950000.0,0.3,71289436.0,14615010.0,20.5,44.0,2003-01-23,,
140,002200,수출포장,6550.0,-50.0,-0.8,21340.0,140350500.0,6680.0,6690.0,6510.0,26200000000.0,0.01,4000000.0,39974.0,1.0,645.0,2003-01-24,,
141,003490,대한항공,12000.0,-500.0,-4.0,413079.0,5090940000.0,12500.0,12700.0,11950.0,855473232000.0,0.3,71289436.0,14517100.0,20.36,44.0,2003-01-24,,
142,002200,수출포장,6480.0,-70.0,-1.1,16760.0,108401000.0,6520.0,6520.0,6420.0,25920000000.0,0.01,4000000.0,39974.0,1.0,645.0,2003-01-27,,
